OBJECTID,CO_ID,ENGLISH,GAEILGE,LOGAINM_ID,GUID,CONTAE,COUNTY,PROVINCE,CENTROID_X,CENTROID_Y,AREA,Shape__Area,Shape__Length
1,50000,DONEGAL,Dún na nGall,100013,2ae19629-1452-13a3-e055-000000000001,Dún na nGall,DONEGAL,Ulster,607296.31,911848.45,4860754356.77,4860754356.6488,1859119.33815133
2,120000,LIMERICK,Luimneach,100022,2ae19629-1440-13a3-e055-000000000001,Luimneach,LIMERICK,Munster,548318.75,640943.05,2754925824.54,2754925824.43915,389798.679234506
3,80000,KILDARE,Cill Dara,100007,2ae19629-1455-13a3-e055-000000000001,Cill Dara,KILDARE,Leinster,678993.6,712090.4,1694083232.97,1694083232.9628,297048.497383096
4,220000,WATERFORD,Port Láirge,100026,2ae19629-144b-13a3-e055-000000000001,Port Láirge,WATERFORD,Munster,630336.8,599955.37,1857037813.92,1857037813.83817,457220.647883928
5,260000,DUBLIN,Baile Átha Cliath,100002,2ae19629-144f-13a3-e055-000000000001,Baile Átha Cliath,DUBLIN,Leinster,714929.28,740960.44,925760879.36,925760879.354584,366198.612466082
6,230000,WESTMEATH,An Iarmhí,100016,2ae19629-144c-13a3-e055-000000000001,An Iarmhí,WESTMEATH,Leinster,635445.42,756679.97,1838309833.24,1838309833.24454,291659.802026369
7,170000,MONAGHAN,Muineachán,100025,2ae19629-1445-13a3-e055-000000000001,Muineachán,MONAGHAN,Ulster,669110.41,824170.57,1294164120.67,1294164120.66217,300981.957734403
8,250000,WICKLOW,Cill Mhantáin,100008,2ae19629-144e-13a3-e055-000000000001,Cill Mhantáin,WICKLOW,Leinster,707784.79,690738.1,2025160941.77,2025160941.7796,320629.95873314
9,40000,CORK,Corcaigh,100010,2ae19629-1451-13a3-e055-000000000001,Corcaigh,CORK,Munster,527532.69,573117.78,7502635495.38,7502635495.38544,1962541.96539208
10,70000,KERRY,Ciarraí,100005,2ae19629-1454-13a3-e055-000000000001,Ciarraí,KERRY,Munster,469696.21,600519.77,4812988563.12,4812988563.11778,1521122.53027768
11,190000,ROSCOMMON,Ros Comáin,100027,2ae19629-1447-13a3-e055-000000000001,Ros Comáin,ROSCOMMON,Connacht,576872.92,772072.39,2547136217.24,2547136217.24771,430531.886648611
12,240000,WEXFORD,Loch Garman,100019,2ae19629-144d-13a3-e055-000000000001,Loch Garman,WEXFORD,Leinster,696261.93,634655.15,2369837777.56,2369837777.55408,427979.226086871
13,130000,LONGFORD,An Longfort,100020,2ae19629-1441-13a3-e055-000000000001,An Longfort,LONGFORD,Leinster,619420.92,775835.13,1091077827.65,1091077827.64883,213044.832625609
14,160000,MEATH,An Mhí,100024,2ae19629-1444-13a3-e055-000000000001,An Mhí,MEATH,Leinster,680723.14,767236.28,2342048769.25,2342048769.255,396538.402596002
15,20000,CAVAN,An Cabhán,100003,2ae19629-1448-13a3-e055-000000000001,An Cabhán,CAVAN,Ulster,638764.82,809776.33,1931224564.03,1931224564.03436,376645.222599408
16,10000,CARLOW,Ceatharlach,100004,2ae19629-143d-13a3-e055-000000000001,Ceatharlach,CARLOW,Leinster,680448.23,660624.58,896306186.01,896306186.007355,224523.973390593
17,150000,MAYO,Maigh Eo,100023,2ae19629-1443-13a3-e055-000000000001,Maigh Eo,MAYO,Connacht,504948.11,797843.38,5587525208.65,5587525208.65015,1637391.11198584
18,140000,LOUTH,Lú,100021,2ae19629-1442-13a3-e055-000000000001,Lú,LOUTH,Leinster,705050.25,796448.45,826107030.37,826107030.365387,255432.049181409
19,200000,SLIGO,Sligeach,100028,2ae19629-1449-13a3-e055-000000000001,Sligeach,SLIGO,Connacht,557897.46,827219.69,1836083206.41,1836083206.40503,519667.175106207
20,110000,LEITRIM,Liatroim,100018,2ae19629-143f-13a3-e055-000000000001,Liatroim,LEITRIM,Connacht,599762.02,821266.52,1588030182.98,1588030182.98993,321776.110812732
21,90000,KILKENNY,Cill Chainnigh,100006,2ae19629-1456-13a3-e055-000000000001,Cill Chainnigh,KILKENNY,Leinster,647885.56,646646.11,2071100205.46,2071100205.45895,286687.498463785
22,180000,OFFALY,Uíbh Fhailí,100031,2ae19629-1446-13a3-e055-000000000001,Uíbh Fhailí,OFFALY,Leinster,631261.72,709672.35,2000024664.09,2000024664.10199,389927.708615339
23,100000,LAOIS,Laois,100017,2ae19629-143e-13a3-e055-000000000001,Laois,LAOIS,Leinster,644908.26,694308.36,1719127150.11,1719127150.11148,276737.958793194
24,60000,GALWAY,Gaillimh,100015,2ae19629-1453-13a3-e055-000000000001,Gaillimh,GALWAY,Connacht,524511.96,732839.34,6150926369.81,6150926369.81061,2134611.18723617
25,210000,TIPPERARY,Tiobraid Árann,100029,2ae19629-144a-13a3-e055-000000000001,Tiobraid Árann,TIPPERARY,Munster,605191.54,659297.87,4303395908.87,4303395908.87091,517791.400528051
26,30000,CLARE,An Clár,100009,2ae19629-1450-13a3-e055-000000000001,An Clár,CLARE,Munster,524790.2,680078.02,3448615219.94,3448615219.92096,527946.667741878
